"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-15",,,"0.00","0.0","0.0","65","45","62",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-16",,,"0.07","0.0","0.0","62","30","30",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-17",,,"0.00","0.0","0.0","35","20","32",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-18",,,"0.00","0.0","0.0","47","19","45",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-19",,,"0.00","0.0","0.0","61","41","60",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-20",,,"0.10","0.0","0.0","68","48","64",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-21",,,"0.00","0.0","0.0","77","55","70",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-22",,,"0.00","0.0","0.0","72","56","64",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-23",,,"0.00","0.0","0.0","68","52","60",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-24",,,"0.00","0.0","0.0","62","40","53",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-25",,,"0.00","0.0","0.0","53","37","41",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-26",,,"0.00","0.0","0.0","43","22","38",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-27",,,"0.00","0.0","0.0","69","29","59",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-28",,,"0.00","0.0","0.0","79","43","68",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-02-29",,,"0.00","0.0","0.0","68","36","50",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-01",,,"0.40","0.0","1.0","50","20","22",,,"    1",,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-02",,,"0.02","0.0","0.0","31","17","28",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-03",,,"0.00","0.0","0.0","47","17","42",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-04",,,"0.00","0.0","0.0","53","37","51",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-05",,,"0.07","0.0","0.0","57","41","44",,,,,,
